	ref	regest	Regest Text	reg Name	type	observance	fn role	Events ref	regest date	from	to	year	fromyear	toyear
82	org__wien	1530	städtischen Grundsiegel	Wien	Stadt	 	witness	#ev__QGW_II_I_1530	1403-03-14			1403		
83	org__st_stephan	1531	Messe, welche ihre Mutter frau Margret die Chronvoglin dats sand Stephan ze Wienn auf sand Merten altar gestiftet hatte	St. Stephan	Kirche_Kapelle	 	recipient	#ev__QGW_II_I_1531	1403-03-19			1403		
84	org__wien	1532	der Stadt	Wien	Stadt	 	recipient	#ev__QGW_II_I_1532	1403-03-20			1403		
85	org__wien	1532	städtischen Grundsiegel	Wien	Stadt	 	witness	#ev__QGW_II_I_1532	1403-03-20			1403		
86	org__st_stephan	1533	ihre Kapelle zu sand Stephan, die da geweihet ist in den eren des heiligen herren sand Moranden	St. Stephan	Kirche_Kapelle	 	recipient	#ev__QGW_II_I_1533	1403-03-28			1403		
87	org__wien	1533	rats gemain der stat ze Wienn	Wien	Stadt	 	other	#ev__QGW_II_I_1533	1403-03-28			1403		
88	org__wien	1533	städtischen Grundsiegel	Wien	Stadt	 	witness	#ev__QGW_II_I_1533	1403-03-28			1403		
89	org__wien	1535	rats gemain der stat ze Wienn	Wien	Stadt	 	other	#ev__QGW_II_I_1535	1403-04-23			1403		
90	org__wien	1535	städtischen Grundsiegel	Wien	Stadt	 	witness	#ev__QGW_II_I_1535	1403-04-23			1403		
91	org__lassee_pfarre	1537	Lauchsee	 	Pfarre	 	None	#ev__QGW_II_I_1537	1403-04-30			1403		
